Kingdom,Phylum,Class,Order,Family,Genus
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thiorhodospira
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,NA,NA
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29_marine_group
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus_Aquiluna
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Chesapeake-Delaware_Bay,NA
